time,ax,ay,az,atotal
3.504,0.03,0.19,-0.08,0.21
3.514,-0.04,-0.14,-0.23,0.27
3.524,-0.04,0.17,-0.50,0.53
3.534,0.01,0.18,-0.35,0.39
3.544,-0.03,0.09,-0.19,0.21
3.554,0.05,0.11,-0.01,0.12
3.564,-0.08,-0.11,-0.24,0.28
3.574,-0.03,0.11,-0.45,0.46
3.584,-0.16,0.37,-0.42,0.59
3.594,-0.29,0.39,-0.21,0.54
3.604,0.14,-0.15,-0.11,0.23
3.614,0.13,-0.33,-0.19,0.40
3.625,0.10,0.06,-0.48,0.50
3.634,-0.01,0.14,-0.40,0.43
3.644,-0.02,0.13,-0.14,0.19
3.654,0.01,0.04,-0.07,0.08
3.664,-0.05,-0.20,-0.17,0.27
3.674,0.00,0.13,-0.39,0.41
3.684,-0.04,0.16,-0.38,0.41
3.694,-0.01,0.15,-0.18,0.23
3.704,0.01,0.05,-0.15,0.16
3.714,-0.02,-0.19,-0.28,0.34
3.724,0.01,0.16,-0.48,0.50
3.734,-0.04,0.20,-0.36,0.42
3.744,-0.01,0.14,-0.13,0.20
3.754,0.00,0.06,-0.19,0.20
3.764,-0.03,-0.28,-0.25,0.37
3.774,0.01,0.22,-0.42,0.48
3.784,-0.03,0.18,-0.40,0.44
3.794,-0.01,0.22,-0.21,0.30
3.804,-0.02,0.03,-0.23,0.24
3.814,-0.06,-0.37,-0.30,0.48
3.824,0.01,0.24,-0.37,0.44
3.834,-0.02,0.10,-0.28,0.30
3.844,-0.03,0.33,-0.16,0.37
3.854,-0.04,-0.06,-0.26,0.27
3.864,-0.01,-0.27,-0.30,0.40
3.874,0.01,0.16,-0.36,0.40
3.884,-0.02,0.11,-0.24,0.26
3.894,0.01,0.37,-0.13,0.39
3.904,-0.04,-0.08,-0.23,0.25
3.914,-0.03,-0.24,-0.36,0.43
3.924,0.01,0.17,-0.40,0.43
3.934,-0.03,0.10,-0.21,0.23
3.944,-0.01,0.32,-0.09,0.33
3.954,-0.03,-0.11,-0.19,0.22
3.964,-0.03,-0.21,-0.42,0.47
3.974,0.02,0.06,-0.38,0.39
3.984,-0.02,0.08,-0.20,0.22
3.994,0.00,0.36,-0.13,0.38
4.004,-0.00,-0.14,-0.24,0.28
4.014,-0.06,-0.18,-0.39,0.44
4.024,0.03,0.10,-0.40,0.42
4.034,-0.01,0.05,-0.27,0.28
4.044,0.03,0.24,-0.13,0.27
4.054,-0.04,-0.13,-0.18,0.22
4.064,-0.05,-0.10,-0.36,0.37
4.074,-0.00,0.02,-0.48,0.48
4.084,0.02,0.09,-0.15,0.18
4.094,0.02,0.29,-0.12,0.31
4.104,-0.04,-0.22,-0.29,0.37
4.114,0.00,0.03,-0.41,0.41
4.124,-0.00,0.02,-0.32,0.32
4.133,0.02,0.10,-0.11,0.15
4.144,0.05,0.08,-0.08,0.12
4.154,-0.03,-0.15,-0.15,0.22
4.163,-0.03,-0.02,-0.45,0.45
4.174,-0.04,0.09,-0.61,0.62
4.184,-0.10,0.06,-1.03,1.03
4.194,0.17,0.15,0.56,0.61
4.203,-0.03,0.01,0.06,0.07
4.213,-0.01,-0.17,-0.38,0.41
4.223,0.00,0.11,-0.37,0.38
4.233,0.00,-0.10,-0.36,0.37
4.243,0.02,0.12,0.03,0.12
4.253,-0.02,-0.16,-0.04,0.17
4.263,0.01,0.04,-0.51,0.51
4.274,0.03,0.11,-0.53,0.55
4.283,-0.04,-0.02,0.06,0.07
4.293,0.01,0.09,0.11,0.14
4.303,-0.04,-0.34,-0.19,0.39
4.313,0.02,0.08,-0.35,0.36
4.323,-0.01,0.09,-0.28,0.30
