# M, Cl, Cd, alpha, BF1, BF2, BF3, BF4
7.778000000000000469e-01,7.259299999999999642e-01,1.975999999999999979e-02,2.466699999999999893e+00,9.255941206878759431e-02,3.799999999999998934e-01,1.000965131057052204e-02,-1.634000000000001424e-02
7.778000000000000469e-01,7.429099999999999593e-01,2.136000000000000051e-02,2.600000000000000089e+00,1.117885660865756137e-01,3.059999999999996056e-01,2.154314837323734189e-02,8.399999999999865907e-04
7.832999999999999963e-01,6.411900000000000377e-01,1.660000000000000017e-02,2.000000000000000000e+00,6.693179508218216611e-02,1.779999999999999361e-01,-2.496493862848447876e-02,-3.194999999999999923e-02
7.832999999999999963e-01,6.525699999999999834e-01,1.731999999999999859e-02,2.066699999999999982e+00,7.690467938100753464e-02,2.069999999999998508e-01,-1.822660313945467792e-02,-2.876000000000000084e-02
7.832999999999999963e-01,6.645499999999999741e-01,1.796999999999999986e-02,2.133300000000000196e+00,8.500371805021256222e-02,2.689999999999996838e-01,-1.154627461489265983e-02,-2.755999999999999422e-02
7.399999999999999911e-01,3.568600000000000105e-01,7.979999999999999247e-03,1.000000000000000000e+00,-1.650388359069168143e-01,-2.760000000000002451e-01,-3.287278359069167877e-01,-4.735999999999997850e-02
7.399999999999999911e-01,3.767099999999999893e-01,8.009999999999999759e-03,1.105299999999999949e+00,-1.442165028781199343e-01,-2.670000000000001261e-01,-3.193959094850533642e-01,-4.692999999999999255e-02
7.399999999999999911e-01,3.966000000000000081e-01,8.049999999999999864e-03,1.210499999999999909e+00,-1.141824148687375917e-01,-2.570000000000001172e-01,-3.104806125809842499e-01,-4.639999999999998986e-02
7.399999999999999911e-01,4.166099999999999803e-01,8.120000000000000481e-03,1.315800000000000081e+00,-9.961389099238093792e-02,-2.480000000000002203e-01,-3.013995967165530310e-01,-4.583999999999998493e-02
7.399999999999999911e-01,4.366399999999999726e-01,8.219999999999999876e-03,1.421000000000000041e+00,-7.124046560841779119e-02,-2.380000000000002114e-01,-2.935003335456509710e-01,-4.528999999999998999e-02
7.399999999999999911e-01,4.566700000000000204e-01,8.389999999999999888e-03,1.526299999999999990e+00,-6.054809975265351696e-02,-2.270000000000000906e-01,-2.864394863824035742e-01,-4.467999999999999056e-02
7.399999999999999911e-01,4.765599999999999836e-01,8.519999999999999796e-03,1.631599999999999939e+00,-7.354080538521667876e-02,-2.170000000000000817e-01,-2.759260896533832774e-01,-4.412999999999999562e-02
