Group numbers,Specimen material,Test type,
,,,
,,,
Results Table 1,,,
,Group numbers,Specimen material,Test type
2,17,erethane_foam,compression
,,,
Results Table 2,,,
,,,
,,,
,,,
Time,Displacement,Force,
(s),(mm),(N),
68.8,2.29339,11.53389,
68.9,2.29687,11.56558,
69,2.30004,11.52252,
69.1,2.30341,11.51803,
69.2,2.30689,11.34237,
69.3,2.31011,11.40475,
69.4,2.31332,11.56126,
69.5,2.31691,11.49491,
69.6,2.32013,11.48324,
69.7,2.32329,11.47614,
69.8,2.32693,11.42937,
69.9,2.33009,11.44567,
70,2.33325,11.70592,
70.1,2.337,11.57544,
70.2,2.34005,11.65081,
70.3,2.34321,11.61493,
70.4,2.34707,11.44508,
70.5,2.35007,11.48565,
70.6,2.35318,11.51627,
70.7,2.35714,11.7004,
70.8,2.36009,11.76897,
70.9,2.3632,11.73885,
71,2.36711,11.59114,
71.1,2.37011,11.69387,
71.2,2.37316,11.70684,
71.3,2.37713,11.62435,
71.4,2.38007,11.45636,
71.5,2.38313,11.60252,
71.6,2.38714,11.66674,
71.7,2.39014,11.6503,
71.8,2.3932,11.75678,
71.9,2.39711,11.73887,
72,2.40011,11.57608,
72.1,2.40321,11.71174,
72.2,2.40707,11.71662,
72.3,2.41013,11.54901,
72.4,2.41323,11.77478,
72.5,2.41704,11.73821,
72.6,2.42009,11.68167,
72.7,2.42325,11.75627,
72.8,2.427,11.60416,
72.9,2.43005,11.57467,
73,2.43332,11.8436,
73.1,2.43691,11.60333,
73.2,2.44012,11.7856,
73.3,2.44339,11.46679,
73.4,2.44677,11.70761,
73.5,2.45014,11.7625,
73.6,2.45341,11.66798,
73.7,2.45673,11.71825,
73.8,2.46016,11.59514,
73.9,2.46343,11.62934,
74,2.46664,11.67644,
74.1,2.47029,11.74343,
74.2,2.47345,11.75085,
74.3,2.47661,11.6686,
74.4,2.4803,11.70998,
74.5,2.48346,11.8326,
74.6,2.48657,11.81649,
74.7,2.49032,11.86895,
74.8,2.49343,11.67423,
74.9,2.49659,11.66513,
75,2.50034,11.87348,
75.1,2.50339,11.96115,
75.2,2.50655,11.95295,
75.3,2.51036,11.96632,
75.4,2.51341,11.73042,
75.5,2.51657,11.97211,
75.6,2.52038,11.94965,
75.7,2.52343,11.87678,
75.8,2.52654,11.8481,
75.9,2.53039,11.9692,
76,2.5335,11.86117,
76.1,2.5365,11.91062,
76.2,2.54046,12.0385,
76.3,2.54346,11.88858,
76.4,2.54652,11.92136,
76.5,2.55048,11.81693,
76.6,2.55343,12.06572,
76.7,2.55648,12.06384,
76.8,2.56045,11.98006,
76.9,2.56339,11.92168,
77,2.5665,12.13398,
77.1,2.57046,12.03701,
77.2,2.57341,12.03301,
77.3,2.57657,11.84194,
77.4,2.58037,11.95652,
77.5,2.58337,12.07975,
77.6,2.58664,12.13302,
77.7,2.59029,12.10849,
77.8,2.59339,11.91864,
77.9,2.59666,12.12997,
78,2.6002,12.06104,
78.1,2.60346,12.03656,
78.2,2.60668,12.12541,
78.3,2.61016,11.99544,
78.4,2.61348,11.92178,
78.5,2.6167,11.99755,
78.6,2.62013,12.06677,
78.7,2.62355,12.1327,
78.8,2.62671,12.09431,
78.9,2.63009,12.07455,
79,2.63357,12.02558,
79.1,2.63673,11.95578,
79.2,2.64005,12.02747,
79.3,2.64354,12.14295,
79.4,2.64675,12.12482,
79.5,2.64996,12.16689,
79.6,2.65361,12.14619,
79.7,2.65677,12.20478,
79.8,2.65993,12.30749,
79.9,2.66363,12.14905,
80,2.66679,12.33637,
80.1,2.66984,12.32059,
80.2,2.6737,12.36701,
80.3,2.6768,12.16786,
80.4,2.6798,12.26079,
80.5,2.68382,12.28538,
80.6,2.68677,12.30977,
80.7,2.68982,12.28507,
80.8,2.69384,12.20744,
80.9,2.69679,12.36266,
81,2.69984,12.34106,
81.1,2.7038,12.27113,
81.2,2.70675,12.35393,
81.3,2.70986,12.28924,
81.4,2.71382,12.31287,
81.5,2.71677,12.258,
81.6,2.71982,12.47361,
81.7,2.72379,12.50608,
81.8,2.72673,12.38808,
81.9,2.72989,12.41759,
82,2.73375,12.26602,
82.1,2.73675,12.38879,
82.2,2.73991,12.53191,
82.3,2.74366,12.56732,
82.4,2.74677,12.21997,
82.5,2.74993,12.40775,
82.6,2.75362,12.64996,
82.7,2.75679,12.42854,
82.8,2.75995,12.33705,
82.9,2.76359,12.33771,
83,2.7668,12.39903,
83.1,2.76996,12.50968,
83.2,2.77355,12.42577,
83.3,2.77682,12.35923,
83.4,2.77998,12.44025,
83.5,2.78346,12.55091,
83.6,2.78684,12.6265,
83.7,2.79,12.32263,
83.8,2.79343,12.35494,
83.9,2.79686,12.53776,
84,2.80007,12.49231,
84.1,2.80339,12.63635,
84.2,2.80687,12.5326,
84.3,2.81009,12.45639,
84.4,2.8133,12.47947,
84.5,2.81695,12.57706,
84.6,2.82016,12.51181,
84.7,2.82327,12.73058,
84.8,2.82696,12.72664,
84.9,2.83012,12.52039,
85,2.83318,12.5058,
85.1,2.83704,12.65115,
85.2,2.84009,12.56059,
85.3,2.8432,12.55797,
85.4,2.84711,12.51611,
85.5,2.85011,12.61191,
85.6,2.85316,12.75559,
85.7,2.85712,12.58029,
85.8,2.86007,12.58732,
