Group numbers,Specimen material,Test type
"","",""

Results Table 1
,Group numbers,Specimen material,Test type
"2","17","ethefoam","compression"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"71.40000","2.38002","26.87944"
"71.50000","2.38313","27.17055"
"71.60000","2.38704","27.02433"
"71.70000","2.39004","27.08787"
"71.80000","2.39314","27.06578"
"71.90000","2.39695","27.06847"
"72.00000","2.40005","27.16154"
"72.10000","2.40316","26.99345"
"72.20000","2.40691","27.16702"
"72.30000","2.41007","26.99398"
"72.40000","2.41323","27.17706"
"72.50000","2.41687","27.51568"
"72.60000","2.42004","27.52040"
"72.70000","2.42320","27.43445"
"72.80000","2.42684","27.36917"
"72.90000","2.43005","27.42328"
"73.00000","2.43327","27.53461"
"73.10000","2.43680","27.46186"
"73.20000","2.44007","27.45545"
"73.30000","2.44329","27.44975"
"73.40000","2.44671","27.85510"
"73.50000","2.45009","27.77839"
"73.60000","2.45330","27.76246"
"73.70000","2.45673","27.68642"
"73.80000","2.46011","27.64848"
"73.90000","2.46332","27.78363"
"74.00000","2.46664","27.74964"
"74.10000","2.47018","27.75544"
"74.20000","2.47339","28.08366"
"74.30000","2.47661","27.87020"
"74.40000","2.48020","27.90557"
"74.50000","2.48336","27.78627"
"74.60000","2.48652","27.92251"
"74.70000","2.49027","28.08901"
"74.80000","2.49338","28.24023"
"74.90000","2.49648","28.22105"
"75.00000","2.50029","28.21236"
"75.10000","2.50334","28.22510"
"75.20000","2.50645","28.17316"
"75.30000","2.51030","28.41232"
"75.40000","2.51336","28.31228"
"75.50000","2.51646","28.38807"
"75.60000","2.52038","28.43315"
"75.70000","2.52337","28.47397"
"75.80000","2.52643","28.31795"
"75.90000","2.53039","28.37428"
"76.00000","2.53339","28.35874"
"76.10000","2.53645","28.54990"
"76.20000","2.54041","28.53751"
"76.30000","2.54336","28.66053"
"76.40000","2.54641","28.74972"
"76.50000","2.55038","28.78935"
"76.60000","2.55338","28.89357"
"76.70000","2.55643","28.74269"
"76.80000","2.56039","28.91879"
"76.90000","2.56339","28.79597"
"77.00000","2.56645","28.97346"
"77.10000","2.57036","28.93891"
"77.20000","2.57336","29.26832"
"77.30000","2.57652","28.89875"
"77.40000","2.58032","29.01173"
"77.50000","2.58332","29.20756"
"77.60000","2.58659","29.17426"
"77.70000","2.59018","29.14838"
"77.80000","2.59334","29.11330"
"77.90000","2.59661","29.25364"
"78.00000","2.60009","29.21740"
"78.10000","2.60336","29.36878"
"78.20000","2.60663","29.28735"
"78.30000","2.61000","29.27552"
"78.40000","2.61343","29.37383"
"78.50000","2.61664","29.40521"
"78.60000","2.61996","29.40644"
"78.70000","2.62345","29.62188"
"78.80000","2.62666","29.65196"
"78.90000","2.62993","29.54119"
"79.00000","2.63352","29.47534"
"79.10000","2.63668","29.75506"
"79.20000","2.63989","29.75407"
"79.30000","2.64354","29.77867"
"79.40000","2.64670","29.87063"
"79.50000","2.64991","29.67309"
